index	prediction
301	entailment
302	entailment
303	entailment
304	entailment
305	entailment
306	not_entailment
307	not_entailment
308	entailment
309	entailment
310	not_entailment
311	entailment
312	not_entailment
313	not_entailment
314	entailment
315	not_entailment
316	entailment
317	not_entailment
318	entailment
319	entailment
320	entailment
321	not_entailment
322	entailment
323	not_entailment
324	entailment
325	entailment
326	not_entailment
327	entailment
328	entailment
329	entailment
330	entailment
331	entailment
332	not_entailment
333	not_entailment
334	not_entailment
335	entailment
336	entailment
337	entailment
338	entailment
339	entailment
340	entailment
341	entailment
342	entailment
343	not_entailment
344	not_entailment
345	entailment
346	entailment
347	entailment
348	not_entailment
349	not_entailment
350	entailment
351	entailment
352	not_entailment
353	not_entailment
354	entailment
355	not_entailment
356	entailment
357	not_entailment
358	entailment
359	entailment
360	entailment
361	entailment
362	entailment
363	not_entailment
364	entailment
365	not_entailment
366	entailment
367	entailment
368	entailment
369	entailment
370	entailment
371	entailment
372	not_entailment
373	entailment
374	not_entailment
375	entailment
376	not_entailment
377	entailment
378	not_entailment
379	not_entailment
380	not_entailment
381	not_entailment
382	not_entailment
383	entailment
384	not_entailment
385	entailment
386	not_entailment
387	entailment
388	entailment
389	not_entailment
390	not_entailment
391	entailment
392	entailment
393	entailment
394	entailment
395	entailment
396	entailment
397	not_entailment
398	not_entailment
399	not_entailment
400	entailment
401	entailment
402	entailment
403	not_entailment
404	not_entailment
405	entailment
406	not_entailment
407	entailment
408	entailment
409	entailment
410	not_entailment
411	entailment
412	entailment
413	entailment
414	entailment
415	entailment
416	not_entailment
417	not_entailment
418	not_entailment
419	not_entailment
420	entailment
421	entailment
422	entailment
423	not_entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	entailment
429	not_entailment
430	not_entailment
431	not_entailment
432	entailment
433	entailment
434	entailment
435	not_entailment
436	not_entailment
437	entailment
438	entailment
439	not_entailment
440	entailment
441	entailment
442	entailment
443	entailment
444	not_entailment
445	entailment
446	entailment
447	entailment
448	entailment
449	entailment
450	entailment
451	entailment
452	not_entailment
453	entailment
454	not_entailment
455	entailment
456	entailment
457	entailment
458	entailment
459	entailment
460	entailment
461	entailment
462	entailment
463	entailment
464	entailment
465	not_entailment
466	entailment
467	not_entailment
468	entailment
469	entailment
470	not_entailment
471	entailment
472	entailment
473	entailment
474	entailment
475	not_entailment
476	not_entailment
477	not_entailment
478	entailment
479	entailment
480	not_entailment
481	entailment
482	entailment
483	entailment
484	entailment
485	entailment
486	entailment
487	entailment
488	not_entailment
489	entailment
490	entailment
491	entailment
492	entailment
493	entailment
494	entailment
495	entailment
496	not_entailment
497	entailment
498	not_entailment
499	not_entailment
500	entailment
501	entailment
502	entailment
503	entailment
504	not_entailment
505	entailment
506	not_entailment
507	entailment
508	entailment
509	not_entailment
510	not_entailment
511	entailment
512	not_entailment
513	entailment
514	entailment
515	not_entailment
516	not_entailment
517	not_entailment
518	not_entailment
519	not_entailment
520	not_entailment
521	not_entailment
522	not_entailment
523	entailment
524	entailment
525	entailment
526	entailment
527	entailment
528	entailment
529	not_entailment
530	entailment
531	entailment
532	not_entailment
533	entailment
534	not_entailment
535	entailment
536	not_entailment
537	entailment
538	entailment
539	not_entailment
540	entailment
541	not_entailment
542	not_entailment
543	entailment
544	entailment
545	not_entailment
546	entailment
547	entailment
548	entailment
549	entailment
550	not_entailment
551	entailment
552	entailment
553	not_entailment
554	not_entailment
555	entailment
556	not_entailment
557	not_entailment
558	entailment
559	not_entailment
560	entailment
561	entailment
562	not_entailment
563	entailment
564	entailment
565	entailment
566	entailment
567	entailment
568	not_entailment
569	entailment
570	not_entailment
571	entailment
572	entailment
573	not_entailment
574	entailment
575	not_entailment
576	entailment
577	entailment
578	entailment
579	entailment
580	entailment
581	not_entailment
582	not_entailment
583	entailment
584	not_entailment
585	entailment
586	entailment
587	not_entailment
588	entailment
589	not_entailment
590	entailment
591	not_entailment
592	not_entailment
593	entailment
594	entailment
595	not_entailment
596	entailment
597	entailment
598	entailment
599	not_entailment
600	entailment
601	entailment
602	not_entailment
603	not_entailment
604	entailment
605	not_entailment
606	entailment
607	not_entailment
608	not_entailment
609	entailment
610	entailment
611	not_entailment
612	entailment
613	not_entailment
614	not_entailment
615	entailment
616	not_entailment
617	not_entailment
618	not_entailment
619	not_entailment
620	not_entailment
621	entailment
622	entailment
623	not_entailment
624	entailment
625	not_entailment
626	not_entailment
627	not_entailment
628	not_entailment
629	not_entailment
630	entailment
631	entailment
632	not_entailment
633	not_entailment
634	not_entailment
635	not_entailment
636	entailment
637	not_entailment
638	not_entailment
639	entailment
640	entailment
641	entailment
642	entailment
643	not_entailment
644	entailment
645	not_entailment
646	entailment
647	entailment
648	not_entailment
649	not_entailment
650	not_entailment
651	not_entailment
652	not_entailment
653	not_entailment
654	entailment
655	not_entailment
656	entailment
657	not_entailment
658	not_entailment
659	not_entailment
660	not_entailment
661	not_entailment
662	entailment
663	entailment
664	not_entailment
665	not_entailment
666	entailment
667	not_entailment
668	not_entailment
669	not_entailment
670	entailment
671	entailment
672	not_entailment
673	entailment
674	not_entailment
675	not_entailment
676	entailment
677	entailment
678	entailment
679	entailment
680	entailment
681	entailment
682	not_entailment
683	entailment
684	not_entailment
685	entailment
686	entailment
687	entailment
688	not_entailment
689	not_entailment
690	entailment
691	not_entailment
692	entailment
693	entailment
694	entailment
695	not_entailment
696	not_entailment
697	entailment
698	entailment
699	not_entailment
700	entailment
701	entailment
702	entailment
703	not_entailment
704	not_entailment
705	not_entailment
706	not_entailment
707	entailment
708	entailment
709	not_entailment
710	not_entailment
711	entailment
712	entailment
713	not_entailment
714	not_entailment
715	not_entailment
716	entailment
717	not_entailment
718	not_entailment
719	not_entailment
720	entailment
721	entailment
722	entailment
723	not_entailment
724	entailment
725	not_entailment
726	entailment
727	entailment
728	entailment
729	entailment
730	entailment
731	entailment
732	not_entailment
733	entailment
734	entailment
735	entailment
736	not_entailment
737	not_entailment
738	entailment
739	entailment
740	not_entailment
741	entailment
742	not_entailment
743	not_entailment
744	entailment
745	entailment
746	not_entailment
747	not_entailment
748	not_entailment
749	not_entailment
750	entailment
751	entailment
752	not_entailment
753	not_entailment
754	not_entailment
755	entailment
756	entailment
757	not_entailment
758	entailment
759	not_entailment
760	entailment
761	entailment
762	entailment
763	entailment
764	not_entailment
765	not_entailment
766	not_entailment
767	not_entailment
768	not_entailment
769	not_entailment
770	entailment
771	not_entailment
772	not_entailment
773	not_entailment
774	entailment
775	entailment
776	entailment
777	entailment
778	entailment
779	not_entailment
780	not_entailment
781	entailment
782	entailment
783	entailment
784	entailment
785	entailment
786	entailment
787	entailment
788	entailment
789	entailment
790	not_entailment
791	not_entailment
792	entailment
793	entailment
794	not_entailment
795	entailment
796	not_entailment
797	not_entailment
798	not_entailment
799	not_entailment
800	entailment
801	entailment
802	not_entailment
803	entailment
804	not_entailment
805	entailment
806	entailment
807	not_entailment
808	entailment
809	not_entailment
810	not_entailment
811	entailment
812	not_entailment
813	entailment
814	entailment
815	entailment
816	not_entailment
817	entailment
818	entailment
819	entailment
820	entailment
821	entailment
822	entailment
823	entailment
824	entailment
825	entailment
826	entailment
827	entailment
828	entailment
829	not_entailment
830	entailment
831	entailment
832	entailment
833	entailment
834	entailment
835	entailment
836	entailment
837	not_entailment
838	not_entailment
839	entailment
840	entailment
841	not_entailment
842	entailment
843	not_entailment
844	entailment
845	not_entailment
846	entailment
847	entailment
848	entailment
849	entailment
850	not_entailment
851	entailment
852	entailment
853	entailment
854	entailment
855	not_entailment
856	not_entailment
857	not_entailment
858	not_entailment
859	entailment
860	entailment
861	not_entailment
862	entailment
863	entailment
864	entailment
865	entailment
866	entailment
867	not_entailment
868	entailment
869	not_entailment
870	entailment
871	entailment
872	entailment
873	entailment
874	entailment
875	entailment
876	not_entailment
877	entailment
878	entailment
879	not_entailment
880	not_entailment
881	entailment
882	entailment
883	entailment
884	entailment
885	entailment
886	entailment
887	not_entailment
888	not_entailment
889	entailment
890	entailment
891	entailment
892	entailment
893	entailment
894	entailment
895	entailment
896	entailment
897	not_entailment
898	not_entailment
899	not_entailment
900	not_entailment
901	entailment
902	entailment
903	entailment
904	entailment
905	entailment
906	entailment
907	entailment
908	entailment
909	entailment
910	not_entailment
911	entailment
912	not_entailment
913	entailment
914	entailment
915	entailment
916	entailment
917	entailment
918	entailment
919	not_entailment
920	entailment
921	entailment
922	entailment
923	entailment
924	not_entailment
925	entailment
926	entailment
927	not_entailment
928	entailment
929	not_entailment
930	not_entailment
931	entailment
932	not_entailment
933	not_entailment
934	entailment
935	entailment
936	entailment
937	not_entailment
938	entailment
939	not_entailment
940	entailment
941	entailment
942	not_entailment
943	entailment
944	not_entailment
945	not_entailment
946	not_entailment
947	entailment
948	not_entailment
949	entailment
950	entailment
951	entailment
952	not_entailment
953	not_entailment
954	entailment
955	entailment
956	entailment
957	entailment
958	not_entailment
959	entailment
960	entailment
961	entailment
962	entailment
963	entailment
964	entailment
965	entailment
966	entailment
967	entailment
968	entailment
969	not_entailment
970	entailment
971	entailment
972	not_entailment
973	entailment
974	not_entailment
975	entailment
976	entailment
977	entailment
978	not_entailment
979	not_entailment
980	not_entailment
981	not_entailment
982	entailment
983	entailment
984	not_entailment
985	not_entailment
986	entailment
987	entailment
988	not_entailment
989	entailment
990	entailment
991	not_entailment
992	entailment
993	not_entailment
994	entailment
995	entailment
996	entailment
997	not_entailment
998	entailment
999	entailment
1000	not_entailment
1001	not_entailment
1002	entailment
1003	not_entailment
1004	not_entailment
1005	entailment
1006	not_entailment
1007	entailment
1008	entailment
1009	not_entailment
1010	not_entailment
1011	not_entailment
1012	not_entailment
1013	not_entailment
1014	entailment
1015	entailment
1016	entailment
1017	entailment
1018	entailment
1019	entailment
1020	entailment
1021	entailment
1022	not_entailment
1023	entailment
1024	entailment
1025	not_entailment
1026	not_entailment
1027	entailment
1028	entailment
1029	not_entailment
1030	entailment
1031	not_entailment
1032	entailment
1033	entailment
1034	entailment
1035	entailment
1036	not_entailment
1037	not_entailment
1038	not_entailment
1039	entailment
1040	not_entailment
1041	not_entailment
1042	entailment
1043	not_entailment
1044	not_entailment
1045	entailment
1046	not_entailment
1047	entailment
1048	entailment
1049	not_entailment
1050	not_entailment
1051	entailment
1052	not_entailment
1053	not_entailment
1054	entailment
1055	entailment
1056	not_entailment
1057	entailment
1058	not_entailment
1059	entailment
1060	entailment
1061	not_entailment
1062	not_entailment
1063	entailment
1064	not_entailment
1065	entailment
1066	entailment
1067	entailment
1068	entailment
1069	not_entailment
1070	entailment
1071	not_entailment
1072	entailment
1073	entailment
1074	not_entailment
1075	not_entailment
1076	not_entailment
1077	entailment
1078	not_entailment
1079	entailment
1080	entailment
1081	not_entailment
1082	entailment
1083	entailment
1084	entailment
1085	entailment
1086	entailment
1087	entailment
1088	entailment
1089	not_entailment
1090	not_entailment
1091	entailment
1092	not_entailment
1093	not_entailment
1094	not_entailment
1095	not_entailment
1096	entailment
1097	entailment
1098	entailment
1099	not_entailment
1100	not_entailment
1101	not_entailment
1102	not_entailment
1103	not_entailment
1104	not_entailment
1105	not_entailment
1106	not_entailment
1107	not_entailment
1108	not_entailment
1109	not_entailment
1110	not_entailment
1111	not_entailment
1112	not_entailment
1113	entailment
1114	entailment
1115	not_entailment
1116	not_entailment
1117	not_entailment
1118	not_entailment
1119	entailment
1120	not_entailment
1121	not_entailment
1122	not_entailment
1123	entailment
1124	entailment
1125	not_entailment
1126	entailment
1127	not_entailment
1128	not_entailment
1129	not_entailment
1130	entailment
1131	not_entailment
1132	not_entailment
1133	not_entailment
1134	not_entailment
1135	not_entailment
1136	not_entailment
1137	not_entailment
1138	entailment
1139	entailment
1140	not_entailment
1141	not_entailment
1142	entailment
1143	not_entailment
1144	not_entailment
1145	entailment
1146	entailment
1147	entailment
1148	not_entailment
1149	not_entailment
1150	not_entailment
1151	not_entailment
1152	not_entailment
1153	entailment
1154	entailment
1155	entailment
1156	entailment
1157	not_entailment
1158	not_entailment
1159	not_entailment
1160	entailment
1161	not_entailment
1162	not_entailment
1163	not_entailment
1164	not_entailment
1165	entailment
1166	not_entailment
1167	entailment
1168	entailment
1169	not_entailment
1170	entailment
1171	entailment
1172	entailment
1173	entailment
1174	entailment
1175	entailment
1176	entailment
1177	entailment
1178	not_entailment
1179	not_entailment
1180	not_entailment
1181	entailment
1182	not_entailment
1183	not_entailment
1184	not_entailment
1185	not_entailment
1186	not_entailment
1187	not_entailment
1188	not_entailment
1189	entailment
1190	not_entailment
1191	not_entailment
1192	entailment
1193	not_entailment
1194	not_entailment
1195	entailment
1196	not_entailment
1197	not_entailment
1198	not_entailment
1199	not_entailment
1200	entailment
1201	entailment
1202	not_entailment
1203	not_entailment
1204	entailment
1205	entailment
1206	entailment
1207	entailment
1208	not_entailment
1209	not_entailment
1210	entailment
1211	not_entailment
1212	not_entailment
1213	not_entailment
1214	entailment
1215	not_entailment
1216	entailment
1217	not_entailment
1218	entailment
1219	entailment
1220	entailment
1221	entailment
1222	entailment
1223	entailment
1224	not_entailment
1225	entailment
1226	entailment
1227	not_entailment
1228	entailment
1229	entailment
1230	not_entailment
1231	entailment
1232	entailment
1233	not_entailment
1234	entailment
1235	entailment
1236	entailment
1237	entailment
1238	entailment
1239	entailment
1240	not_entailment
1241	entailment
1242	entailment
1243	entailment
1244	entailment
1245	entailment
1246	entailment
1247	not_entailment
1248	entailment
1249	entailment
1250	not_entailment
1251	entailment
1252	not_entailment
1253	entailment
1254	not_entailment
1255	not_entailment
1256	not_entailment
1257	not_entailment
1258	entailment
1259	entailment
1260	not_entailment
1261	entailment
1262	not_entailment
1263	not_entailment
1264	not_entailment
1265	entailment
1266	entailment
1267	entailment
1268	not_entailment
1269	not_entailment
1270	entailment
1271	entailment
1272	entailment
1273	entailment
1274	not_entailment
1275	entailment
1276	not_entailment
1277	entailment
1278	entailment
1279	entailment
1280	entailment
1281	not_entailment
1282	not_entailment
1283	not_entailment
1284	entailment
1285	not_entailment
1286	not_entailment
1287	entailment
1288	entailment
1289	not_entailment
1290	entailment
1291	entailment
1292	entailment
1293	not_entailment
1294	not_entailment
1295	entailment
1296	not_entailment
1297	entailment
1298	entailment
1299	entailment
1300	entailment
1301	not_entailment
1302	not_entailment
1303	not_entailment
1304	entailment
1305	entailment
1306	not_entailment
1307	not_entailment
1308	not_entailment
1309	not_entailment
1310	not_entailment
1311	not_entailment
1312	not_entailment
1313	entailment
1314	entailment
1315	entailment
1316	entailment
1317	entailment
1318	not_entailment
1319	not_entailment
1320	entailment
1321	entailment
1322	not_entailment
1323	not_entailment
1324	not_entailment
1325	not_entailment
1326	entailment
1327	not_entailment
1328	not_entailment
1329	entailment
1330	not_entailment
1331	not_entailment
1332	not_entailment
1333	entailment
1334	entailment
1335	entailment
1336	not_entailment
1337	entailment
1338	entailment
1339	entailment
1340	entailment
1341	entailment
1342	entailment
1343	entailment
1344	not_entailment
1345	not_entailment
1346	entailment
1347	entailment
1348	entailment
1349	entailment
1350	not_entailment
1351	entailment
1352	entailment
1353	not_entailment
1354	not_entailment
1355	entailment
1356	entailment
1357	not_entailment
1358	entailment
1359	not_entailment
1360	not_entailment
1361	not_entailment
1362	entailment
1363	not_entailment
1364	not_entailment
1365	entailment
1366	not_entailment
1367	not_entailment
1368	not_entailment
1369	not_entailment
1370	entailment
1371	not_entailment
1372	entailment
1373	entailment
1374	entailment
1375	entailment
1376	not_entailment
1377	not_entailment
1378	not_entailment
1379	not_entailment
1380	not_entailment
1381	entailment
1382	entailment
1383	not_entailment
1384	not_entailment
1385	not_entailment
1386	entailment
1387	not_entailment
1388	not_entailment
1389	not_entailment
1390	entailment
1391	not_entailment
1392	not_entailment
1393	not_entailment
1394	entailment
1395	not_entailment
1396	not_entailment
1397	not_entailment
1398	not_entailment
1399	entailment
1400	not_entailment
1401	not_entailment
1402	entailment
1403	entailment
1404	entailment
1405	entailment
1406	not_entailment
1407	entailment
1408	not_entailment
1409	not_entailment
1410	not_entailment
1411	not_entailment
1412	not_entailment
1413	entailment
1414	not_entailment
1415	not_entailment
1416	entailment
1417	entailment
1418	entailment
1419	entailment
1420	not_entailment
1421	entailment
1422	entailment
1423	entailment
1424	entailment
1425	entailment
1426	entailment
1427	entailment
1428	entailment
1429	entailment
1430	entailment
1431	entailment
1432	entailment
1433	entailment
1434	entailment
1435	not_entailment
1436	entailment
1437	entailment
1438	entailment
1439	entailment
1440	not_entailment
1441	entailment
1442	entailment
1443	entailment
1444	entailment
1445	entailment
1446	entailment
1447	entailment
1448	entailment
1449	entailment
1450	entailment
1451	not_entailment
1452	not_entailment
1453	entailment
1454	entailment
1455	not_entailment
1456	entailment
1457	entailment
1458	entailment
1459	entailment
1460	entailment
1461	entailment
1462	entailment
1463	entailment
1464	entailment
1465	entailment
1466	entailment
1467	entailment
1468	entailment
1469	not_entailment
1470	entailment
1471	not_entailment
1472	not_entailment
1473	not_entailment
1474	entailment
1475	not_entailment
1476	not_entailment
1477	not_entailment
1478	entailment
1479	not_entailment
1480	not_entailment
1481	not_entailment
1482	entailment
1483	entailment
1484	not_entailment
1485	not_entailment
1486	entailment
1487	entailment
1488	entailment
1489	not_entailment
1490	entailment
1491	entailment
1492	entailment
1493	entailment
1494	entailment
1495	not_entailment
1496	entailment
1497	not_entailment
1498	entailment
1499	entailment
1500	not_entailment
1501	entailment
1502	not_entailment
1503	not_entailment
1504	entailment
1505	entailment
1506	not_entailment
1507	entailment
1508	not_entailment
1509	entailment
1510	entailment
1511	entailment
1512	entailment
1513	not_entailment
1514	entailment
1515	entailment
1516	entailment
1517	entailment
1518	not_entailment
1519	entailment
1520	entailment
1521	entailment
1522	entailment
1523	entailment
1524	entailment
1525	not_entailment
1526	not_entailment
1527	entailment
1528	entailment
1529	entailment
1530	entailment
1531	entailment
1532	entailment
1533	entailment
1534	entailment
1535	entailment
1536	entailment
1537	not_entailment
1538	entailment
1539	not_entailment
1540	not_entailment
1541	not_entailment
1542	not_entailment
1543	entailment
1544	entailment
1545	not_entailment
1546	not_entailment
1547	entailment
1548	entailment
1549	entailment
1550	entailment
1551	entailment
1552	entailment
1553	entailment
1554	not_entailment
1555	entailment
1556	entailment
1557	entailment
1558	entailment
1559	not_entailment
1560	entailment
1561	not_entailment
1562	entailment
1563	entailment
1564	not_entailment
1565	entailment
1566	not_entailment
1567	entailment
1568	not_entailment
1569	not_entailment
1570	entailment
1571	entailment
1572	entailment
1573	entailment
1574	not_entailment
1575	not_entailment
1576	entailment
1577	not_entailment
1578	not_entailment
1579	not_entailment
1580	not_entailment
1581	entailment
1582	entailment
1583	not_entailment
1584	not_entailment
1585	entailment
1586	entailment
1587	not_entailment
1588	entailment
1589	not_entailment
1590	entailment
1591	not_entailment
1592	not_entailment
1593	not_entailment
1594	entailment
1595	entailment
1596	entailment
1597	entailment
1598	entailment
1599	entailment
1600	not_entailment
1601	entailment
1602	not_entailment
1603	not_entailment
1604	not_entailment
1605	entailment
1606	entailment
1607	not_entailment
1608	not_entailment
1609	entailment
1610	entailment
1611	not_entailment
1612	entailment
1613	entailment
1614	not_entailment
1615	entailment
1616	not_entailment
1617	not_entailment
1618	not_entailment
1619	not_entailment
1620	not_entailment
1621	entailment
1622	not_entailment
1623	entailment
1624	entailment
1625	not_entailment
1626	not_entailment
1627	not_entailment
1628	not_entailment
1629	not_entailment
1630	not_entailment
1631	not_entailment
1632	entailment
1633	not_entailment
1634	entailment
1635	entailment
1636	not_entailment
1637	not_entailment
1638	not_entailment
1639	not_entailment
1640	entailment
1641	not_entailment
1642	not_entailment
1643	entailment
1644	not_entailment
1645	not_entailment
1646	not_entailment
1647	not_entailment
1648	not_entailment
1649	not_entailment
1650	entailment
1651	entailment
1652	not_entailment
1653	entailment
1654	entailment
1655	entailment
1656	entailment
1657	entailment
1658	entailment
1659	not_entailment
1660	not_entailment
1661	entailment
1662	entailment
1663	not_entailment
1664	entailment
1665	not_entailment
1666	not_entailment
1667	not_entailment
1668	not_entailment
1669	entailment
1670	entailment
1671	entailment
1672	not_entailment
1673	not_entailment
1674	entailment
1675	not_entailment
1676	entailment
1677	entailment
1678	not_entailment
1679	entailment
1680	entailment
1681	not_entailment
1682	not_entailment
1683	not_entailment
1684	not_entailment
1685	not_entailment
1686	entailment
1687	entailment
1688	not_entailment
1689	not_entailment
1690	entailment
1691	entailment
1692	not_entailment
1693	not_entailment
1694	not_entailment
1695	not_entailment
1696	entailment
1697	entailment
1698	entailment
1699	not_entailment
1700	entailment
1701	not_entailment
1702	entailment
1703	entailment
1704	not_entailment
1705	entailment
1706	not_entailment
1707	entailment
1708	not_entailment
1709	not_entailment
1710	not_entailment
1711	not_entailment
1712	not_entailment
1713	entailment
1714	not_entailment
1715	entailment
1716	entailment
1717	entailment
1718	not_entailment
1719	entailment
1720	not_entailment
1721	entailment
1722	entailment
1723	not_entailment
1724	entailment
1725	not_entailment
1726	not_entailment
1727	entailment
1728	not_entailment
1729	not_entailment
1730	not_entailment
1731	entailment
1732	not_entailment
1733	entailment
1734	not_entailment
1735	entailment
1736	entailment
1737	entailment
1738	not_entailment
1739	not_entailment
1740	entailment
1741	entailment
1742	not_entailment
1743	not_entailment
1744	not_entailment
1745	not_entailment
1746	not_entailment
1747	not_entailment
1748	not_entailment
1749	not_entailment
1750	entailment
1751	entailment
1752	not_entailment
1753	entailment
1754	not_entailment
1755	entailment
1756	not_entailment
1757	not_entailment
1758	entailment
1759	entailment
1760	entailment
1761	not_entailment
1762	entailment
1763	not_entailment
1764	entailment
1765	entailment
1766	entailment
1767	not_entailment
1768	entailment
1769	not_entailment
1770	not_entailment
1771	entailment
1772	not_entailment
1773	entailment
1774	not_entailment
1775	entailment
1776	not_entailment
1777	entailment
1778	entailment
1779	entailment
1780	entailment
1781	entailment
1782	not_entailment
1783	not_entailment
1784	not_entailment
1785	entailment
1786	entailment
1787	entailment
1788	entailment
1789	entailment
1790	entailment
1791	entailment
1792	entailment
1793	entailment
1794	entailment
1795	entailment
1796	not_entailment
1797	not_entailment
1798	entailment
1799	not_entailment
1800	entailment
1801	entailment
1802	not_entailment
1803	not_entailment
1804	not_entailment
1805	not_entailment
1806	entailment
1807	not_entailment
1808	not_entailment
1809	entailment
1810	entailment
1811	entailment
1812	not_entailment
1813	entailment
1814	entailment
1815	not_entailment
1816	entailment
1817	entailment
1818	entailment
1819	entailment
1820	not_entailment
1821	not_entailment
1822	entailment
1823	not_entailment
1824	not_entailment
1825	entailment
1826	entailment
1827	not_entailment
1828	entailment
1829	not_entailment
1830	entailment
1831	entailment
1832	not_entailment
1833	not_entailment
1834	not_entailment
1835	entailment
1836	not_entailment
1837	entailment
1838	not_entailment
1839	not_entailment
1840	not_entailment
1841	entailment
1842	not_entailment
1843	not_entailment
1844	not_entailment
1845	entailment
1846	not_entailment
1847	not_entailment
1848	not_entailment
1849	not_entailment
1850	not_entailment
1851	not_entailment
1852	not_entailment
1853	not_entailment
1854	entailment
1855	not_entailment
1856	not_entailment
1857	entailment
1858	entailment
1859	not_entailment
1860	entailment
1861	entailment
1862	not_entailment
1863	entailment
1864	entailment
1865	not_entailment
1866	entailment
1867	entailment
1868	not_entailment
1869	entailment
1870	entailment
1871	entailment
1872	not_entailment
1873	not_entailment
1874	entailment
1875	entailment
1876	not_entailment
1877	not_entailment
1878	not_entailment
1879	not_entailment
1880	not_entailment
1881	entailment
1882	not_entailment
1883	not_entailment
1884	not_entailment
1885	entailment
1886	entailment
1887	entailment
1888	not_entailment
1889	entailment
1890	not_entailment
1891	not_entailment
1892	not_entailment
1893	entailment
1894	entailment
1895	not_entailment
